task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Humanoid-v5,SAC,TD3,bootstrap,0.05,5,0.153,0.011383804285035824,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,5,0.087,0.00891240708226459,0.05
Humanoid-v5,SAC,TD3,t-test,0.05,10,0.053,0.00708456067798138,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,10,0.055,0.00720936890441875,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,10,0.088,0.008958571314668427,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,10,0.092,0.00913980306133562,0.05
Humanoid-v5,SAC,TD3,bootstrap,0.05,10,0.107,0.009775019181566858,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,10,0.061,0.0075682891065286355,0.05
Humanoid-v5,SAC,TD3,t-test,0.05,20,0.06,0.007509993342207435,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,20,0.057,0.007331507348424334,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,20,0.096,0.009315793041926168,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,20,0.099,0.009444522221901964,0.05
Humanoid-v5,SAC,TD3,bootstrap,0.05,20,0.063,0.007683163410991596,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,20,0.051,0.00695693898205238,0.05
Humanoid-v5,SAC,TD3,t-test,0.05,30,0.044,0.006485676526007136,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,30,0.047,0.006692607862410586,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,30,0.098,0.009401914698613257,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,30,0.124,0.010422283818818216,0.05
Humanoid-v5,SAC,TD3,bootstrap,0.05,30,0.082,0.008676174272108648,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,30,0.061,0.0075682891065286355,0.05
Humanoid-v5,SAC,TD3,t-test,0.01,2,0.041,0.006270486424512854,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2,0.013,0.003582038525755969,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,2,0.414,0.015575750383207868,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,2,0.451,0.01573527883451704,0.01
Humanoid-v5,SAC,TD3,t-test,0.01,3,0.032,0.005565608681896348,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,3,0.01,0.003146426544510455,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,3,0.001,0.0009994998749374609,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,3,0.226,0.013225883713385657,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,3,0.193,0.012480024038438387,0.01
Humanoid-v5,SAC,TD3,t-test,0.01,5,0.031,0.0054807846153630225,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,5,0.007,0.0026364749192814255,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,5,0.024,0.004839834707921336,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,5,0.051,0.00695693898205238,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,5,0.085,0.008819013550278738,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,5,0.038,0.006046155803483731,0.01
Humanoid-v5,SAC,TD3,t-test,0.01,10,0.019,0.004317290817167636,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,10,0.014,0.003715373467095872,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,10,0.026,0.0050322956987840055,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,10,0.023,0.004740358636221525,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,10,0.041,0.006270486424512854,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,10,0.016,0.003967870965643918,0.01
Humanoid-v5,SAC,TD3,t-test,0.01,20,0.013,0.003582038525755969,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,20,0.008,0.0028170906978654416,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,20,0.031,0.0054807846153630225,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,20,0.034,0.005730968504537431,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,20,0.024,0.004839834707921336,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,20,0.015,0.003843826218756514,0.01
Humanoid-v5,SAC,TD3,t-test,0.01,30,0.012,0.003443254274665175,0.01
Humanoid-v5,SAC,TD3,Welch t-test,0.01,30,0.011,0.003298332912245215,0.01
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,30,0.034,0.005730968504537431,0.01
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,30,0.038,0.006046155803483731,0.01
Humanoid-v5,SAC,TD3,bootstrap,0.01,30,0.016,0.003967870965643918,0.01
Humanoid-v5,SAC,TD3,permutation,0.01,30,0.01,0.003146426544510455,0.01
